         3297113 function calls (3264112 primitive calls) in 2.553 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.011    0.004 categorical.py:1(<module>)
       75    0.000    0.000    0.011    0.000 __init__.py:1427(get_metadata)
    23426    0.008    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      700    0.001    0.000    0.011    0.000 __init__.py:2584(__init__)
     2203    0.010    0.000    0.010    0.000 {method 'sub' of 're.Pattern' objects}
    24106    0.006    0.000    0.010    0.000 enum.py:358(__call__)
     1795    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
        1    0.000    0.000    0.010    0.010 __init__.py:11(<module>)
        1    0.000    0.000    0.010    0.010 _script.py:1(<module>)
      712    0.001    0.000    0.010    0.000 __init__.py:2085(<genexpr>)
     1261    0.001    0.000    0.010    0.000 __init__.py:623(__setitem__)
        1    0.000    0.000    0.010    0.010 evaluation.py:1(<module>)
       75    0.000    0.000    0.010    0.000 __init__.py:1634(_get)
      163    0.000    0.000    0.010    0.000 _decorators.py:485(__call__)
        1    0.000    0.000    0.010    0.010 registration.py:1(<module>)
        1    0.000    0.000    0.010    0.010 __init__.py:189(_check_versions)
        1    0.000    0.000    0.010    0.010 __init__.py:7(<module>)
        1    0.000    0.000    0.010    0.010 _internal.py:1(<module>)
      762    0.001    0.000    0.010    0.000 __init__.py:1336(safe_version)
      124    0.000    0.000    0.009    0.000 linecache.py:36(getlines)
        1    0.000    0.000    0.009    0.009 table.py:9(<module>)
       72    0.000    0.000    0.009    0.000 linecache.py:80(updatecache)
       26    0.001    0.000    0.009    0.000 inspect.py:986(getblock)
     1451    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:156(__enter__)
      246    0.000    0.000    0.009    0.000 _decorators.py:368(decorator)
        1    0.000    0.000    0.009    0.009 metadata.py:1(<module>)
        1    0.000    0.000    0.009    0.009 pathlib.py:1(<module>)
      460    0.000    0.000    0.009    0.000 genericpath.py:16(exists)
     8778    0.005    0.000    0.009    0.000 inspect.py:494(unwrap)
        1    0.000    0.000    0.009    0.009 _meta_registrations.py:1(<module>)
      403    0.000    0.000    0.009    0.000 __init__.py:1622(_has)
    95/15    0.000    0.000    0.009    0.001 core.py:3861(parseImpl)
  489/228    0.001    0.000    0.008    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1318    0.002    0.000    0.008    0.000 tokenize.py:429(_tokenize)
     3246    0.008    0.000    0.008    0.000 <frozen importlib._bootstrap>:87(acquire)
        1    0.000    0.000    0.008    0.008 groupby.py:1(<module>)
     3643    0.008    0.000    0.008    0.000 version.py:444(_cmpkey)
        3    0.000    0.000    0.008    0.003 utils.py:5(<module>)
     2184    0.003    0.000    0.008    0.000 inspect.py:545(_finddoc)
        1    0.000    0.000    0.008    0.008 gradcheck.py:1(<module>)
        4    0.000    0.000    0.008    0.002 core.py:1078(parse_string)
        1    0.000    0.000    0.008    0.008 override.py:1(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:68(do_override)
        1    0.000    0.000    0.008    0.008 __init__.py:51(ensure_local_distutils)
    10129    0.008    0.000    0.008    0.000 {built-in method __new__ of type object at 0x1023232b8}
       99    0.003    0.000    0.008    0.000 __init__.py:345(namedtuple)
       10    0.000    0.000    0.008    0.001 traceback.py:200(extract_stack)
       10    0.000    0.000    0.008    0.001 traceback.py:321(extract)
     3246    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        3    0.000    0.000    0.007    0.002 activation.py:1(<module>)
        1    0.000    0.000    0.007    0.007 client.py:1(<module>)
        2    0.000    0.000    0.007    0.004 common.py:2(<module>)
     2068    0.003    0.000    0.007    0.000 typing.py:137(_type_check)
      416    0.000    0.000    0.007    0.000 abc.py:105(__new__)
      432    0.007    0.000    0.007    0.000 {method 'findall' of 're.Pattern' objects}
        5    0.000    0.000    0.007    0.001 rnn.py:1(<module>)
     1205    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
        1    0.000    0.000    0.007    0.007 _secondary_axes.py:1(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:352(_mac_os_check)
